Agent,Model,Scenario,Total Latency (s),Input Tokens,Output Tokens,Est. Cost ($),Accuracy,Persona,Faithfulness,Reasoning
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/ca.amazon.nova-lite-v1:0,1. Standard Completion & Math Check,9.65,18713,1389,0.001456,5,5,5,"The agent asked exactly three questions, one from each category (Data Analysis, Machine Learning, and Deep Learning). The final score of 2 out of 3 matches the agent's own grading of the user's answers. The agent provided a summary of three projects using the exact formatting with titles in brackets. The agent's responses were accurate, maintained a helpful persona, and were faithful to the evaluation criteria."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/ca.amazon.nova-lite-v1:0,2. The Asterisk and Line Format Check,6.49,18550,890,0.001327,5,5,5,The agent accurately provided the correct answers to the questions asked by the user. It maintained a helpful and informative persona throughout the interaction. The agent adhered strictly to the criteria by not using any markdown asterisks and appropriately using a dividing line between grading and asking the next question.
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/ca.amazon.nova-lite-v1:0,3. The Silent Scratchpad Check,10.08,19068,1531,0.001512,5,5,5,"The agent accurately provided the correct answers and explanations for the questions. It maintained a helpful and encouraging persona throughout the interaction. The agent strictly recommended DataSimple projects and did not mention any external sites like Kaggle, adhering faithfully to the criteria. The use of the <thinking> XML tag was not observed in the raw output, but the agent's responses were appropriate and aligned with the evaluation criteria."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/ca.amazon.nova-lite-v1:0,4. Lowercase Inputs,7.42,18635,1048,0.001370,5,5,5,"The agent accurately parsed the lowercase letters 'b', 'c', and 'd' as valid answers, graded them correctly, and provided relevant explanations and recommendations for further learning. The progression of the test was normal, and the final score was appropriately calculated. The agent maintained a helpful and encouraging persona throughout the interaction."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/ca.amazon.nova-lite-v1:0,5. Verbose Inputs,6.01,18778,809,0.001321,1,5,1,"The agent did not successfully extract the intended letter from the conversational text nor progress the test as required. Instead, the agent repeatedly responded with a generic statement about adhering to the Media Outlets Policy, which is not relevant to the user's input. The persona was maintained well in terms of being polite and respectful, but the responses lacked the necessary extraction and progression of the test."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/ca.amazon.nova-lite-v1:0,6. Hesitant Inputs,8.67,18899,1341,0.001456,5,5,5,"The agent accurately accepted the user's responses as final submissions, graded them correctly, and provided relevant feedback and resources for further learning. The agent maintained a helpful and encouraging persona throughout the interaction, and remained faithful to the evaluation criteria by ensuring the test progressed smoothly and providing constructive feedback at the end."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/ca.amazon.nova-lite-v1:0,7. Invalid Letter Handling,7.36,18803,1137,0.001401,3,5,2,"The agent did not adhere to the evaluation criteria by advancing the test and grading the user's responses 'E' and 'Z'. According to the criteria, the agent should have asked the user to provide A, B, C, or D instead of moving forward. This failure to enforce the criteria correctly impacts the accuracy and faithfulness scores. However, the persona of the agent was friendly and encouraging, which is why the persona score remains high."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/ca.amazon.nova-lite-v1:0,8. Double Selection,7.81,18943,1087,0.001397,4,5,3,"The agent provided accurate answers and explanations for the questions. The persona was maintained well, being helpful and encouraging. However, the agent did not strictly adhere to the evaluation criteria by not forcing the user to pick a single definitive answer when the user typed 'A or B'. Instead, the agent proceeded with the evaluation, which is a deviation from the specified criteria."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/ca.amazon.nova-lite-v1:0,9. The Skip Attempt,7.51,18839,1068,0.001387,5,5,5,The agent accurately handled the user's request to skip the first question and marked it as incorrect. It then proceeded to the next question without any delay. The explanations provided for the correct answers were clear and relevant. The agent maintained a helpful and engaging persona throughout the interaction. It also faithfully adhered to the criteria by ensuring the user was guided through the questions smoothly and received appropriate feedback and explanations.
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/ca.amazon.nova-lite-v1:0,10. The Premature Exit,2.96,8515,415,0.000611,5,5,5,The agent accurately exited the test loop as requested by the user. It confirmed the cancellation by acknowledging the user's need to stop the test and expressed understanding. The agent maintained a warm and encouraging persona by wishing the user a great day and leaving the door open for the user to continue the test at another time. This response aligns perfectly with the evaluation criteria.
