Agent,Model,Scenario,Total Latency (s),Input Tokens,Output Tokens,Est. Cost ($),Accuracy,Persona,Faithfulness,Reasoning
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,1. Standard Completion & Math Check,18.17,16021,1489,0.005867,5,5,5,"The agent asked exactly three questions covering Data Analysis, Machine Learning, and Deep Learning. The final score of 1 out of 3 matches the agent's own grading of the user's answers. The agent summarized three projects using the exact -- [TITLE] -- formatting. The agent provided clear explanations for each question, maintained a helpful and encouraging persona, and was faithful to the evaluation criteria."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,2. The Asterisk and Line Format Check,17.6,15943,1446,0.005793,5,5,5,"The agent accurately provided the correct answers for the quiz questions, maintained a consistent and friendly persona throughout the interaction, and strictly adhered to the evaluation criteria by avoiding the use of markdown asterisks and correctly using dividing lines between sections."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,3. The Silent Scratchpad Check,17.42,15905,1414,0.005744,4,5,5,"The agent provided accurate answers to the questions and maintained a consistent, encouraging persona throughout the interaction. It correctly identified the user's incorrect answers and provided the correct ones, along with relevant project recommendations from DataSimple.education. The agent did not mention any external sites like Kaggle, adhering strictly to the criteria. The only minor deduction in accuracy is for not explicitly using a <thinking> XML tag to track the state of the test, although the overall performance was still strong."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,4. Lowercase Inputs,20.64,16405,1712,0.006241,5,5,5,"The agent correctly parsed the lowercase letters as valid answers, graded them accurately, and progressed the test normally. The feedback provided was detailed and relevant to the questions asked. The persona of the agent was consistent, friendly, and encouraging throughout the interaction. The agent remained faithful to the criteria by providing appropriate resources for further learning and maintaining a positive and supportive tone."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,5. Verbose Inputs,19.15,15849,1597,0.005958,5,5,5,"The agent accurately extracted the user's answers, provided correct explanations for each question, and maintained a supportive and encouraging persona throughout the interaction. The agent also progressed the test smoothly, providing relevant resources for further learning and offering the user the option to continue or ask more questions."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,6. Hesitant Inputs,21.22,16192,1639,0.006097,5,5,5,"The agent accurately accepted the user's question marks as final submissions, graded them correctly, and provided detailed explanations for each answer. The agent maintained a supportive and encouraging persona throughout the interaction, which aligns well with the educational context. The responses were faithful to the criteria, providing relevant explanations and directing the user to specific tutorials for further learning. The agent effectively progressed the test by summarizing the covered concepts and encouraging the user to review and retake the test."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,7. Invalid Letter Handling,16.0,15448,1045,0.005168,5,5,5,"The agent correctly handled the user's invalid responses 'E' and 'Z' by politely reminding the user of the available options and asking them to choose from A, B, C, or D. Only after the user provided a valid response 'A' did the agent grade the answer and move on to the next question. The agent's responses were accurate, maintained a helpful and encouraging persona, and were faithful to the evaluation criteria."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,8. Double Selection,16.2,15615,1160,0.005354,4,5,3,"The agent correctly explained the answers for the questions and provided additional context. However, when the user initially provided 'A or B' for the first question, the agent did not strictly enforce the criteria of requiring a single definitive answer before moving on. Instead, the agent prompted the user to choose one but did not refuse to grade or force a single answer as required by the criteria. This slight deviation from the criteria results in a lower score for faithfulness."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,9. The Skip Attempt,19.04,15992,1549,0.005934,5,5,5,"The agent effectively managed the user's request to skip the first question by encouraging the user to guess, which aligns with the practice test's learning-oriented nature. The agent correctly marked the user's guess as correct for Question 1 and provided an accurate explanation. For Question 2, the agent accurately identified the user's answer as incorrect and provided the correct explanation. The transition between questions was smooth, and the agent maintained an encouraging and informative tone throughout the interaction."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,10. The Premature Exit,7.65,7327,458,0.002404,5,5,5,"The agent accurately exited the test loop when the user requested to stop. The agent confirmed the cancellation by letting the user know that they can come back whenever they are ready. The agent maintained a warm and encouraging persona by expressing understanding, offering flexibility, and providing positive reinforcement. The response aligns perfectly with the evaluation criteria."
