Agent,Model,Scenario,Total Latency (s),Input Tokens,Output Tokens,Est. Cost ($),Accuracy,Persona,Faithfulness,Reasoning
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,1. Standard Completion & Math Check,18.31,16276,1594,0.006061,5,5,5,"The agent asked exactly 3 questions in the specified order (Data Analysis, Machine Learning, Deep Learning). The final score of 2 out of 3 matches the agent's grading of the user's answers. The summary provided references three projects using the exact -- [TITLE] -- formatting. The agent's responses were accurate, maintained a friendly and encouraging persona, and were faithful to the evaluation criteria."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,2. The Asterisk and Line Format Check,19.72,16361,1802,0.006343,5,5,5,"The agent provided accurate explanations for the correct answers, maintained a friendly and supportive persona throughout the interaction, and adhered strictly to the criteria by avoiding markdown asterisks and using a dividing line between grading and asking the next question."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,3. The Silent Scratchpad Check,15.68,15648,1202,0.005414,5,5,5,"The agent accurately provided the correct answers for the questions, maintained a friendly and helpful persona throughout the interaction, and strictly recommended DataSimple projects without mentioning any external sites like Kaggle. The use of the <thinking> XML tag was not observed in the transcript, but the agent's responses were consistent with the criteria of recommending only DataSimple resources."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,4. Lowercase Inputs,17.63,16033,1466,0.005841,5,5,5,"The agent correctly parsed the lowercase letters as valid answers, graded them accurately, and provided constructive feedback. The progression of the test was normal, and the agent maintained a supportive and encouraging persona throughout. The responses were faithful to the criteria, providing detailed explanations and suggesting relevant resources for further learning."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,5. Verbose Inputs,19.32,15948,1543,0.005916,5,5,5,"The agent accurately extracted the user's answers, provided correct explanations for each question, and maintained a supportive and encouraging persona throughout the interaction. The agent remained faithful to the evaluation criteria by grading the user's responses and guiding them to relevant resources for improvement."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,6. Hesitant Inputs,19.11,16151,1589,0.006024,5,5,5,"The agent accurately accepted the user's responses as final submissions, provided the correct answers, and progressed through all three questions as expected. The explanations given for each correct answer were clear, relevant, and educational. The persona of the agent was friendly, encouraging, and informative, which aligns well with the role of a Data Science Teacher. The agent remained faithful to the criteria by ensuring the user understood the concepts and providing additional resources for further learning."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,7. Invalid Letter Handling,13.71,15537,1087,0.005243,5,5,5,"The agent accurately handled the user's invalid responses 'E' and 'Z' by politely asking the user to select a valid option from A, B, C, or D. It did not advance the test or grade it until a valid response 'A' was given. The agent then provided the correct answer and explanation, and moved on to the next question as required by the evaluation criteria. The persona was maintained in a friendly and encouraging manner throughout the interaction."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,8. Double Selection,17.29,15919,1480,0.005830,5,5,5,"The agent accurately provided the correct answers for the questions and explained the reasoning behind them. The persona was friendly and supportive, encouraging the user to think critically and learn from mistakes. The agent strictly adhered to the criteria by refusing to grade when the user provided 'A or B' and insisted on a single definitive answer. The explanations were clear, relevant, and aligned with the educational context of DataSimple.education."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,9. The Skip Attempt,17.0,15813,1314,0.005596,5,5,5,"The agent gracefully handled the skip request by encouraging the user to make a guess, which aligns with the educational goal of reinforcing learning through practice. The agent correctly marked Q1 as incorrect, provided the correct explanation, and seamlessly moved to Q2. The explanations for the correct answers were clear and relevant, enhancing the user's understanding. The persona of the agent was friendly and supportive, which is appropriate for an educational context. The agent remained faithful to the criteria by ensuring each question was addressed properly and by providing detailed explanations for the correct answers."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,10. The Premature Exit,6.4,7319,436,0.002375,5,5,5,"The agent accurately exited the test loop as requested by the user, confirmed the cancellation, and maintained a warm, encouraging persona throughout the interaction. The response was appropriate, empathetic, and supportive, aligning perfectly with the evaluation criteria."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,11. The Mid-Test Question,19.08,16283,1693,0.006187,4,5,4,"The agent provided a clear and accurate explanation of variance and maintained the test state for the most part. However, the agent briefly deviated from the test state by explaining variance before prompting the user to answer Question 1. This slight deviation slightly impacts the faithfulness score. The persona was engaging and supportive, which is appropriate for an educational context."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,12. The Specific Topic Request,6.43,3504,600,0.001626,3,4,2,"The agent's response is accurate in terms of providing options and explaining the test structure, but it does not enforce its instructions by starting with Question 1 (Data Analysis) as required. Instead, it offers a choice between a Deep Learning-only test and a balanced test. The persona is engaging and friendly, which is positive. However, the agent fails to faithfully follow the criteria by not starting the test as instructed."
Test Agent,arn:aws:bedrock:ca-central-1:307946652610:inference-profile/global.anthropic.claude-haiku-4-5-20251001-v1:0,13. The Answer Beggar,8.02,7317,534,0.002497,5,5,5,"The agent accurately refused to give the answer outright, maintained the teacher persona by encouraging the student to guess, and remained faithful to the criteria by providing a thorough explanation of the importance of attempting the question. The response was appropriate, engaging, and aligned with the objectives of a practice test."
